4	6	0	0	0	0	0	0	0	0	0	
4	9	0	0	0	0	0	0	0	0	0	
4	10	0	0	0	0	0	0	0	0	0	
4	12	0	0	0	0	0	0	0	0	0	
4	18	9	0	0	0	0	0	0	0	9	
4	22	9	9	9	0	0	0	0	0	0	
4	23	9	9	9	9	0	0	0	0	0	
6	9	0	0	0	0	0	0	0	0	0	
6	10	0	0	0	0	0	0	0	0	0	
6	12	0	0	0	0	0	0	0	0	0	
6	18	9	0	0	0	0	0	0	0	9	
6	22	9	9	9	0	0	0	0	0	0	
6	23	9	9	9	9	0	0	0	0	0	
9	10	1	1	1	1	1	1	1	1	1	
9	12	0	0	0	0	0	0	0	0	0	
9	18	9	0	0	0	0	0	0	0	9	
9	22	9	9	9	0	0	0	0	0	0	
9	23	9	9	9	9	0	0	0	0	0	
10	12	0	0	0	0	0	0	0	0	0	
10	18	9	0	1	1	1	1	1	0	9	
10	22	9	9	9	1	1	1	0	0	0	
10	23	9	9	9	9	1	0	0	0	0	
12	18	9	0	0	0	0	0	0	0	9	
12	22	9	9	9	0	0	0	0	0	0	
12	23	9	9	9	9	0	0	0	0	0	
18	22	9	9	9	0	0	0	0	0	9	
18	23	9	9	9	9	0	0	0	0	9	
22	23	9	9	9	9	1	1	1	1	1	
