2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	13	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	
2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	
2	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
2	19	9	9	0	0	0	0	0	0	9	9	9	9	9	9	9	
5	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	13	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	
5	14	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	
5	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
5	19	9	9	0	0	0	0	0	0	9	9	9	9	9	9	9	
7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	13	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	
7	14	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	
7	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
7	19	9	9	0	0	0	0	0	0	9	9	9	9	9	9	9	
8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	13	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	
8	14	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	
8	16	9	0	0	0	1	0	0	0	0	0	0	0	0	0	9	
8	19	9	9	0	0	0	0	0	0	9	9	9	9	9	9	9	
10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	13	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	
10	14	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	
10	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
10	19	9	9	0	0	0	0	0	0	9	9	9	9	9	9	9	
11	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
11	13	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	
11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	
11	16	9	0	0	0	0	0	0	1	1	1	1	1	0	0	9	
11	19	9	9	1	1	1	1	1	1	9	9	9	9	9	9	9	
12	13	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	
12	14	1	1	1	1	1	1	1	1	1	1	1	0	0	9	9	
12	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
12	19	9	9	0	0	0	0	0	0	9	9	9	9	9	9	9	
13	14	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	
13	16	9	0	0	9	9	9	9	9	9	9	9	9	9	9	9	
13	19	9	9	0	9	9	9	9	9	9	9	9	9	9	9	9	
14	16	9	0	0	0	0	0	0	0	0	0	0	0	0	9	9	
14	19	9	9	0	0	0	0	0	0	9	9	9	9	9	9	9	
16	19	9	9	0	0	0	0	1	1	9	9	9	9	9	9	9	
