2	4	0	0	0	0	0	0	0	0	0	0	
2	5	0	0	0	0	0	0	0	0	0	0	
2	6	0	0	0	0	0	0	0	0	0	0	
2	7	0	0	0	0	9	0	0	0	0	0	
2	8	0	0	0	0	0	0	0	0	0	0	
2	9	0	0	0	0	0	0	0	0	0	9	
2	11	9	0	0	0	0	0	0	0	0	9	
4	5	1	1	1	1	1	1	1	1	1	1	
4	6	0	0	0	0	0	0	0	0	0	0	
4	7	0	0	0	0	9	0	0	0	0	0	
4	8	0	0	0	0	0	0	0	0	0	0	
4	9	0	0	0	0	0	0	0	0	0	9	
4	11	9	0	0	0	0	0	0	0	0	9	
5	6	0	0	0	0	0	0	0	0	0	0	
5	7	0	0	0	0	9	0	0	0	0	0	
5	8	0	0	0	0	0	0	0	0	0	0	
5	9	0	0	0	0	0	0	0	0	0	9	
5	11	9	0	0	0	0	0	0	0	0	9	
6	7	0	0	0	0	9	0	0	0	0	0	
6	8	0	0	0	0	0	0	0	0	0	0	
6	9	0	0	0	0	0	0	0	0	0	9	
6	11	9	0	0	0	0	0	0	0	0	9	
7	8	0	0	0	1	9	1	0	0	0	0	
7	9	0	0	0	0	9	0	0	0	0	9	
7	11	9	0	1	1	9	1	1	0	0	9	
8	9	1	1	1	1	1	1	1	1	0	9	
8	11	9	0	0	0	0	0	0	0	0	9	
9	11	9	0	0	0	0	0	0	0	0	9	
