5	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
5	8	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	
5	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	1	9	1	9	1	9	1	9	1	9	9	1	9	
7	8	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	
7	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	9	0	9	0	9	0	9	0	9	9	0	9	
8	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	14	9	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	9	9	
8	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	9	0	9	0	9	0	9	0	9	9	0	9	
11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	
11	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	9	0	9	0	9	0	9	0	9	9	0	9	
12	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	
12	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	9	0	9	0	9	0	9	0	9	9	0	9	
14	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	9	0	9	0	9	0	9	0	9	9	9	9	
