3	5	0	0	0	0	0	0	
3	6	0	0	0	0	0	0	
3	8	0	0	0	0	0	0	
3	10	0	0	0	0	0	0	
3	12	0	0	0	0	0	0	
3	13	0	0	0	0	0	0	
3	32	9	0	0	0	0	9	
5	6	0	0	0	1	1	1	
5	8	0	0	0	0	0	0	
5	10	0	0	0	0	0	0	
5	12	0	0	0	0	0	0	
5	13	0	0	0	0	0	0	
5	32	9	0	1	1	0	9	
6	8	0	0	0	0	0	0	
6	10	0	0	0	0	0	0	
6	12	0	0	0	0	0	0	
6	13	0	0	0	0	0	0	
6	32	9	0	0	0	0	9	
8	10	1	1	1	1	1	1	
8	12	0	0	0	0	0	0	
8	13	0	0	0	0	0	0	
8	32	9	0	0	0	0	9	
10	12	0	0	0	0	0	0	
10	13	0	0	0	0	0	0	
10	32	9	0	0	0	0	9	
12	13	0	0	0	0	0	0	
12	32	9	0	0	0	0	9	
13	32	9	0	0	0	0	9	
