1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	8	9	0	9	0	9	0	9	0	0	0	0	9	0	0	0	9	9	9	9	9	
1	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
1	9	9	9	9	9	9	9	9	9	9	0	9	9	9	9	9	9	9	9	9	9	
1	27	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	
1	5	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	1	1	
4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	8	9	0	9	0	9	0	9	0	0	0	0	9	0	0	0	9	9	9	9	9	
4	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
4	9	9	9	9	9	9	9	9	9	9	1	9	9	9	9	9	9	9	9	9	9	
4	27	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	
4	5	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	
7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	8	9	0	9	0	9	0	9	0	0	0	0	9	0	0	0	9	9	9	9	9	
7	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	
7	9	9	9	9	9	9	9	9	9	9	0	9	9	9	9	9	9	9	9	9	9	
7	27	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	
7	5	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	
10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	8	9	1	9	1	9	1	9	1	1	1	1	9	1	1	1	9	9	9	9	9	
10	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
10	9	9	9	9	9	9	9	9	9	9	1	9	9	9	9	9	9	9	9	9	9	
10	27	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	
10	5	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	1	1	
12	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	8	9	0	9	0	9	0	9	0	0	0	0	9	0	0	0	9	9	9	9	9	
12	17	9	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	9	
12	9	9	9	9	9	9	9	9	9	9	0	9	9	9	9	9	9	9	9	9	9	
12	27	9	9	9	9	9	9	9	9	9	9	9	9	9	1	0	0	0	0	0	0	
12	5	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	
13	8	9	0	9	0	9	0	9	0	0	0	0	9	0	0	0	9	9	9	9	9	
13	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
13	9	9	9	9	9	9	9	9	9	9	0	9	9	9	9	9	9	9	9	9	9	
13	27	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	
13	5	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	
8	17	9	0	9	0	9	0	9	0	0	0	0	9	0	0	0	9	9	9	9	9	
8	9	9	9	9	9	9	9	9	9	9	1	9	9	9	9	9	9	9	9	9	9	
8	27	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	9	9	9	9	9	
8	5	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
17	9	9	9	9	9	9	9	9	9	9	0	9	9	9	9	9	9	9	9	9	9	
17	27	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	9	
17	5	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	9	
9	27	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
9	5	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
27	5	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	
