3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	11	9	9	0	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
3	12	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
3	20	9	9	9	9	9	9	9	9	0	0	0	9	9	9	9	9	9	9	9	9	9	
3	31	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	
4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	11	9	9	0	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
4	12	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
4	20	9	9	9	9	9	9	9	9	0	0	0	9	9	9	9	9	9	9	9	9	9	
4	31	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	
5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	11	9	9	0	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
5	12	9	9	9	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	9	
5	20	9	9	9	9	9	9	9	9	0	0	0	9	9	9	9	9	9	9	9	9	9	
5	31	9	9	9	9	9	9	9	9	9	9	9	9	1	0	0	0	0	0	0	0	0	
8	9	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	
8	11	9	9	0	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
8	12	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
8	20	9	9	9	9	9	9	9	9	0	0	0	9	9	9	9	9	9	9	9	9	9	
8	31	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	
9	11	9	9	0	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
9	12	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
9	20	9	9	9	9	9	9	9	9	0	0	0	9	9	9	9	9	9	9	9	9	9	
9	31	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	
11	12	9	9	9	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
11	20	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
11	31	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
12	20	9	9	9	9	9	9	9	9	1	1	1	9	9	9	9	9	9	9	9	9	9	
12	31	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	9	
20	31	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
