8	9	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	
8	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
8	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	
8	24	9	9	9	9	9	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
8	37	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	
9	10	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	
9	14	9	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	9	9	
9	24	9	9	9	9	9	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
9	37	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	1	
10	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	
10	24	9	9	9	9	9	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
10	37	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	
14	24	9	9	9	9	9	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
14	37	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
24	37	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
