2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	14	0	0	0	9	9	9	0	0	0	0	0	0	0	0	
2	15	9	0	0	0	0	0	0	0	0	0	0	0	0	9	
3	4	0	0	0	0	1	0	0	0	0	1	0	1	0	0	
3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	14	0	0	0	9	9	9	0	0	0	0	0	0	0	0	
3	15	9	0	0	0	0	0	0	0	0	0	0	0	0	9	
4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	14	0	0	0	9	9	9	0	0	0	0	0	0	0	0	
4	15	9	0	0	0	0	0	0	0	0	0	0	0	0	9	
5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	14	0	0	0	9	9	9	0	0	0	0	0	0	0	0	
5	15	9	0	0	0	0	0	0	0	0	0	0	0	0	9	
7	11	1	1	1	1	1	1	1	1	0	0	0	0	0	0	
7	14	0	0	0	9	9	9	0	0	0	0	0	0	0	0	
7	15	9	0	1	1	1	1	1	1	1	1	1	1	0	9	
11	14	0	0	0	9	9	9	0	0	0	0	0	0	0	0	
11	15	9	0	1	1	1	1	1	0	0	0	0	0	0	9	
14	15	9	0	0	9	9	9	0	0	0	0	0	0	0	9	
