5	6	0	0	0	0	0	0	0	0	0	0	0	
5	7	0	0	0	0	0	0	0	0	0	0	0	
5	8	0	0	0	0	0	0	0	0	0	0	0	
5	10	0	0	0	0	0	0	0	0	0	0	0	
5	11	0	0	0	0	0	0	0	0	0	0	0	
5	13	0	0	0	0	0	0	0	0	0	0	0	
5	14	9	0	0	0	0	0	0	0	0	0	9	
5	16	9	9	0	9	9	9	9	9	9	9	9	
5	18	9	9	9	9	0	0	0	9	9	9	9	
5	23	9	9	9	9	9	9	9	9	0	9	9	
6	7	0	0	0	0	0	0	0	0	0	0	0	
6	8	0	0	0	0	0	0	0	0	0	0	0	
6	10	0	0	0	0	0	0	0	0	0	0	0	
6	11	0	0	0	0	0	0	0	0	0	0	0	
6	13	0	0	0	0	0	0	0	0	0	0	0	
6	14	9	0	0	0	0	0	0	0	0	0	9	
6	16	9	9	0	9	9	9	9	9	9	9	9	
6	18	9	9	9	9	0	0	0	9	9	9	9	
6	23	9	9	9	9	9	9	9	9	0	9	9	
7	8	0	0	0	0	0	0	0	0	0	0	0	
7	10	0	0	0	0	0	0	0	0	0	0	0	
7	11	0	0	0	0	0	0	0	0	0	0	0	
7	13	0	0	0	0	0	0	0	0	0	0	0	
7	14	9	0	0	0	0	0	0	0	0	0	9	
7	16	9	9	0	9	9	9	9	9	9	9	9	
7	18	9	9	9	9	0	0	0	9	9	9	9	
7	23	9	9	9	9	9	9	9	9	0	9	9	
8	10	0	0	0	0	0	0	0	0	0	0	0	
8	11	0	0	0	0	0	0	0	0	0	0	0	
8	13	0	0	0	0	0	0	0	0	0	0	0	
8	14	9	0	0	0	0	0	0	0	0	0	9	
8	16	9	9	0	9	9	9	9	9	9	9	9	
8	18	9	9	9	9	0	0	0	9	9	9	9	
8	23	9	9	9	9	9	9	9	9	0	9	9	
10	11	0	0	0	0	0	0	0	0	0	0	0	
10	13	1	1	1	1	1	1	0	0	0	0	0	
10	14	9	0	0	0	0	1	1	1	0	0	9	
10	16	9	9	0	9	9	9	9	9	9	9	9	
10	18	9	9	9	9	0	0	0	9	9	9	9	
10	23	9	9	9	9	9	9	9	9	0	9	9	
11	13	0	0	0	0	0	0	0	0	0	0	0	
11	14	9	0	0	0	0	0	0	0	0	0	9	
11	16	9	9	0	9	9	9	9	9	9	9	9	
11	18	9	9	9	9	0	0	0	9	9	9	9	
11	23	9	9	9	9	9	9	9	9	0	9	9	
13	14	9	0	0	0	0	0	0	0	0	0	9	
13	16	9	9	0	9	9	9	9	9	9	9	9	
13	18	9	9	9	9	0	0	0	9	9	9	9	
13	23	9	9	9	9	9	9	9	9	0	9	9	
14	16	9	9	1	9	9	9	9	9	9	9	9	
14	18	9	9	9	9	1	1	1	9	9	9	9	
14	23	9	9	9	9	9	9	9	9	1	9	9	
16	18	9	9	9	9	9	9	9	9	9	9	9	
16	23	9	9	9	9	9	9	9	9	9	9	9	
18	23	9	9	9	9	9	9	9	9	9	9	9	
