3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	9	
3	11	9	9	0	0	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	9	9	9	9	9	
3	36	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	
4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	9	
4	11	9	9	0	0	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	9	9	9	9	9	
4	36	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	
5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	9	
5	11	9	9	0	0	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	9	9	9	9	9	
5	36	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	
6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
6	9	0	0	0	0	0	0	0	0	0	0	0	1	1	1	9	1	1	1	0	0	0	0	0	0	0	0	0	0	
6	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	9	
6	11	9	9	0	0	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	9	9	9	9	9	
6	36	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	1	1	1	1	1	1	1	1	1	
7	9	0	0	0	0	0	0	0	0	0	0	1	1	0	1	9	0	1	0	0	0	0	0	0	0	0	0	0	0	
7	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	9	
7	11	9	9	0	0	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	9	9	9	9	9	
7	36	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	
9	16	9	0	0	1	1	1	1	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	9	0	9	0	9	
9	11	9	9	0	0	9	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	9	0	9	9	9	9	9	9	
9	36	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	
16	11	9	9	1	1	9	0	1	9	0	1	1	1	1	1	1	1	1	1	1	1	9	1	9	9	9	9	9	9	
16	36	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	9	0	9	0	9	
11	36	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	9	0	9	9	9	9	9	9	
