2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
2	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
2	18	9	9	9	0	0	9	0	9	9	9	9	9	9	9	9	9	9	9	
2	27	9	9	9	9	9	9	9	9	0	0	9	0	9	9	9	9	9	9	
3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
3	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
3	18	9	9	9	0	0	9	0	9	9	9	9	9	9	9	9	9	9	9	
3	27	9	9	9	9	9	9	9	9	0	0	9	0	9	9	9	9	9	9	
5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
5	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
5	18	9	9	9	0	0	9	0	9	9	9	9	9	9	9	9	9	9	9	
5	27	9	9	9	9	9	9	9	9	0	0	9	0	9	9	9	9	9	9	
6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
6	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
6	18	9	9	9	0	0	9	0	9	9	9	9	9	9	9	9	9	9	9	
6	27	9	9	9	9	9	9	9	9	0	0	9	0	9	9	9	9	9	9	
7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
7	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
7	18	9	9	9	0	0	9	0	9	9	9	9	9	9	9	9	9	9	9	
7	27	9	9	9	9	9	9	9	9	0	0	9	0	9	9	9	9	9	9	
8	9	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	
8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
8	16	9	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0	9	
8	18	9	9	9	0	0	9	0	9	9	9	9	9	9	9	9	9	9	9	
8	27	9	9	9	9	9	9	9	9	0	0	9	0	9	9	9	9	9	9	
9	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	9	
9	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
9	18	9	9	9	0	0	9	0	9	9	9	9	9	9	9	9	9	9	9	
9	27	9	9	9	9	9	9	9	9	0	0	9	0	9	9	9	9	9	9	
12	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
12	18	9	9	9	0	0	9	0	9	9	9	9	9	9	9	9	9	9	9	
12	27	9	9	9	9	9	9	9	9	0	0	9	0	9	9	9	9	9	9	
16	18	9	9	9	1	1	9	1	9	9	9	9	9	9	9	9	9	9	9	
16	27	9	9	9	9	9	9	9	9	1	1	9	1	9	9	9	9	9	9	
18	27	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
