2	3	1	1	1	1	1	1	1	1	0	0	0	0	0	
2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	10	9	0	0	0	1	1	1	9	9	1	0	0	9	
2	14	9	9	0	0	0	0	1	1	1	1	0	9	9	
2	16	9	9	9	0	0	9	9	9	9	9	9	9	9	
3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	10	9	0	0	0	0	0	0	9	9	0	0	0	9	
3	14	9	9	0	0	0	0	0	0	0	0	0	9	9	
3	16	9	9	9	0	0	9	9	9	9	9	9	9	9	
4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	10	9	0	0	0	0	0	0	9	9	0	0	0	9	
4	14	9	9	0	0	0	0	0	0	0	0	0	9	9	
4	16	9	9	9	0	0	9	9	9	9	9	9	9	9	
6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	10	9	0	0	0	0	0	0	9	9	0	0	0	9	
6	14	9	9	0	0	0	0	0	0	0	0	0	9	9	
6	16	9	9	9	0	0	9	9	9	9	9	9	9	9	
7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	10	9	0	0	0	0	0	0	9	9	0	0	0	9	
7	14	9	9	0	0	0	0	0	0	0	0	0	9	9	
7	16	9	9	9	0	0	9	9	9	9	9	9	9	9	
8	10	9	0	0	0	0	0	0	9	9	0	0	0	9	
8	14	9	9	0	0	0	0	0	0	0	0	0	9	9	
8	16	9	9	9	1	1	9	9	9	9	9	9	9	9	
10	14	9	9	1	1	1	1	1	9	9	1	1	9	9	
10	16	9	9	9	0	0	9	9	9	9	9	9	9	9	
14	16	9	9	9	0	0	9	9	9	9	9	9	9	9	
