3	4	1	1	1	1	1	1	1	1	1	1	
3	5	0	0	0	0	0	0	0	0	0	0	
3	11	0	0	0	0	0	0	0	0	0	0	
3	12	0	0	0	0	0	0	0	0	0	0	
3	15	0	0	0	0	0	0	0	0	0	0	
3	18	9	0	9	9	9	9	9	9	9	9	
3	20	9	0	0	0	9	9	9	9	9	9	
3	21	9	9	0	0	0	0	0	0	0	9	
3	24	9	9	9	9	9	0	0	0	0	0	
3	25	9	9	9	9	9	9	0	0	0	0	
4	5	0	0	0	0	0	0	0	0	0	0	
4	11	0	0	0	0	0	0	0	0	0	0	
4	12	0	0	0	0	0	0	0	0	0	0	
4	15	0	0	0	0	0	0	0	0	0	0	
4	18	9	0	9	9	9	9	9	9	9	9	
4	20	9	0	0	0	9	9	9	9	9	9	
4	21	9	9	0	0	0	0	0	0	0	9	
4	24	9	9	9	9	9	0	0	0	0	0	
4	25	9	9	9	9	9	9	0	0	0	0	
5	11	0	0	0	0	0	0	0	0	0	0	
5	12	0	0	0	0	0	0	0	0	0	0	
5	15	0	0	0	0	0	0	0	0	0	0	
5	18	9	0	9	9	9	9	9	9	9	9	
5	20	9	0	0	0	9	9	9	9	9	9	
5	21	9	9	0	0	0	0	0	0	0	9	
5	24	9	9	9	9	9	0	0	0	0	0	
5	25	9	9	9	9	9	9	0	0	0	0	
11	12	1	1	1	1	1	1	1	1	1	1	
11	15	0	0	0	0	0	0	0	0	0	0	
11	18	9	0	9	9	9	9	9	9	9	9	
11	20	9	0	0	0	9	9	9	9	9	9	
11	21	9	9	0	0	0	0	0	0	0	9	
11	24	9	9	9	9	9	0	0	0	0	0	
11	25	9	9	9	9	9	9	0	0	0	0	
12	15	0	0	0	0	0	0	0	0	0	0	
12	18	9	0	9	9	9	9	9	9	9	9	
12	20	9	0	0	0	9	9	9	9	9	9	
12	21	9	9	0	1	1	1	1	1	0	9	
12	24	9	9	9	9	9	1	1	0	0	0	
12	25	9	9	9	9	9	9	0	0	0	0	
15	18	9	0	9	9	9	9	9	9	9	9	
15	20	9	0	0	0	9	9	9	9	9	9	
15	21	9	9	0	0	0	0	0	0	0	9	
15	24	9	9	9	9	9	0	0	0	0	0	
15	25	9	9	9	9	9	9	0	0	0	0	
18	20	9	1	9	9	9	9	9	9	9	9	
18	21	9	9	9	9	9	9	9	9	9	9	
18	24	9	9	9	9	9	9	9	9	9	9	
18	25	9	9	9	9	9	9	9	9	9	9	
20	21	9	9	1	1	9	9	9	9	9	9	
20	24	9	9	9	9	9	9	9	9	9	9	
20	25	9	9	9	9	9	9	9	9	9	9	
21	24	9	9	9	9	9	0	0	0	0	9	
21	25	9	9	9	9	9	9	0	0	0	9	
24	25	9	9	9	9	9	9	1	1	1	1	
