2	4	0	0	0	0	0	0	0	
2	5	0	0	0	0	0	0	0	
2	7	0	0	0	0	0	0	0	
2	8	0	0	0	0	0	0	0	
2	10	0	0	0	0	0	0	0	
2	11	9	0	0	0	0	0	0	
2	15	9	9	0	0	0	0	9	
4	5	1	1	1	1	1	1	1	
4	7	0	0	0	0	0	0	0	
4	8	0	0	0	0	0	0	0	
4	10	0	0	0	0	0	0	0	
4	11	9	0	0	0	0	0	0	
4	15	9	9	0	0	0	0	9	
5	7	0	0	0	0	0	0	0	
5	8	1	1	1	1	0	0	0	
5	10	0	0	0	0	0	0	0	
5	11	9	0	0	0	0	0	0	
5	15	9	9	0	1	1	0	9	
7	8	0	0	0	0	0	0	0	
7	10	0	0	0	0	0	0	0	
7	11	9	0	0	0	0	0	0	
7	15	9	9	0	0	0	0	9	
8	10	0	0	0	0	0	0	0	
8	11	9	0	0	0	0	0	0	
8	15	9	9	0	0	0	0	9	
10	11	9	0	0	0	0	0	0	
10	15	9	9	0	0	0	0	9	
11	15	9	9	0	0	0	0	9	
