2	3	0	0	0	0	0	0	0	0	0	
2	5	0	0	0	0	0	0	0	0	0	
2	6	0	0	0	0	0	0	0	0	0	
2	7	0	0	0	0	0	0	0	0	0	
2	9	0	0	0	0	0	0	0	0	0	
2	11	0	0	0	0	0	0	0	0	0	
2	12	0	0	0	0	0	0	0	0	9	
2	15	9	0	0	0	0	0	9	9	9	
3	5	0	0	0	0	0	0	0	0	0	
3	6	1	1	1	1	1	1	1	1	1	
3	7	0	0	0	0	0	0	0	0	0	
3	9	0	0	0	0	0	0	0	0	0	
3	11	0	0	0	0	0	0	0	0	0	
3	12	0	0	0	0	0	0	0	0	9	
3	15	9	0	0	0	0	0	9	9	9	
5	6	0	0	0	0	0	0	0	0	0	
5	7	0	0	0	0	0	0	0	0	0	
5	9	0	0	0	0	0	0	0	0	0	
5	11	0	0	0	0	0	0	0	0	0	
5	12	0	0	0	0	0	0	0	0	9	
5	15	9	0	0	0	0	0	9	9	9	
6	7	0	0	0	0	0	0	0	0	0	
6	9	0	0	0	0	0	0	0	0	0	
6	11	0	0	0	0	0	0	0	0	0	
6	12	0	0	0	0	0	0	0	0	9	
6	15	9	0	0	0	0	0	9	9	9	
7	9	0	0	0	0	0	0	0	0	0	
7	11	0	0	0	1	0	0	0	0	0	
7	12	0	0	0	0	0	0	0	0	9	
7	15	9	0	1	1	1	0	9	9	9	
9	11	0	0	0	0	0	0	0	0	0	
9	12	0	0	0	0	0	0	0	0	9	
9	15	9	0	0	0	0	0	9	9	9	
11	12	1	1	1	1	1	1	1	0	9	
11	15	9	0	0	0	0	0	9	9	9	
12	15	9	0	0	0	0	0	9	9	9	
